rank,name,small_img_url_works,big_img_url_might work
"
34
","
YoungBoy Never Broke Again
",https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-cu3-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
35
","
Gunna
",https://charts-static.billboard.com/img/2018/06/gunna-16m-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
36
","
Kane Brown
",https://charts-static.billboard.com/img/2015/10/kane-brown-ndj-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
37
","
Lady Gaga
",https://charts-static.billboard.com/img/2017/05/lady-gaga-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
38
","
Marshmello
",https://charts-static.billboard.com/img/2016/10/marshmello-9ph-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
39
","
Thomas Rhett
",https://charts-static.billboard.com/img/2013/12/thomas-rhett-r0o-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
40
","
Maroon 5
",https://charts-static.billboard.com/img/1840/12/maroon-5-9st-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
41
","
Swae Lee
",https://www.billboard.com/assets/1593103446/images/charts/bb-placeholder-new.jpg?21079ba112379073a8da,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
42
","
Camila Cabello
",https://charts-static.billboard.com/img/2016/01/camila-cabello-4tx-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
43
","
Sam Smith
",https://charts-static.billboard.com/img/2014/07/sam-smith-9q2-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
44
","
YNW Melly
",https://www.billboard.com/assets/1593103446/images/charts/bb-placeholder-new.jpg?21079ba112379073a8da,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
45
","
The Rolling Stones
",https://charts-static.billboard.com/img/2017/07/the-rolling-stones-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
46
","
5 Seconds Of Summer
",https://charts-static.billboard.com/img/2013/11/5-seconds-of-summer-deq-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
47
","
Lauren Daigle
",https://charts-static.billboard.com/img/2015/05/lauren-daigle-vvo-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
48
","
Lil Tecca
",https://charts-static.billboard.com/img/2019/06/lil-tecca-d66-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
49
","
Metallica
",https://charts-static.billboard.com/img/2017/05/metallica-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
50
","
Bruno Mars
",https://charts-static.billboard.com/img/2010/12/bruno-mars-va7-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
51
","
Young Thug
",https://charts-static.billboard.com/img/2014/09/young-thug-288-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
52
","
Ella Mai
",https://charts-static.billboard.com/img/2018/03/ella-mai-4oz-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
53
","
Bradley Cooper
",https://www.billboard.com/assets/1593103446/images/charts/bb-placeholder-new.jpg?21079ba112379073a8da,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
54
","
Lewis Capaldi
",https://charts-static.billboard.com/img/2018/12/lewis-capaldi-s2h-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
55
","
Eminem
",https://charts-static.billboard.com/img/2017/02/eminem-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
56
","
Jason Aldean
",https://charts-static.billboard.com/img/2006/12/jason-aldean-sa0-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
57
","
NF
",https://charts-static.billboard.com/img/2015/12/nf-rht-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
58
","
Michael Buble
",https://www.billboard.com/assets/1593103446/images/charts/bb-placeholder-new.jpg?21079ba112379073a8da,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
59
","
Ava Max
",https://charts-static.billboard.com/img/2018/09/ava-max-k5u-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
60
","
The Beatles
",https://charts-static.billboard.com/img/1970/12/the-beatles-ism-artist-chart-6xr-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
61
","
Normani
",https://charts-static.billboard.com/img/2016/12/normani-kordei-y6j-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
62
","
Florida Georgia Line
",https://charts-static.billboard.com/img/2012/12/florida-georgia-line-wbf-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
